"fuel","count_as_fuel_1","count_as_fuel_2","count_as_fuel_3","count_as_fuel_4"
"Solar","10665","43","1","1"
"Hydro","7156","4","0","0"
"Wind","5344","16","1","0"
"Gas","3998","925","76","16"
"Coal","2330","421","67","15"
"Oil","2320","210","12","2"
"Biomass","1430","136","62","37"
"Waste","1068","144","46","19"
"Nuclear","195","5","1","0"
"Geothermal","189","3","0","0"
"Storage","135","11","1","0"
"Other","43","11","3","0"
"Cogeneration","41","7","0","0"
"Petcoke","12","8","6","2"
"Wave and Tidal","10","0","0","0"
