"country","max_capacity"
"Indonesia","5.355"
"Bangladesh","1.649"
"Venezuela","8.851"
"Brunei Darussalam","0.246"
"Cameroon","0.396"
"Luxembourg","1.296"
"Czech Republic","2.133"
"Sweden","3.932"
"Uganda","0.25"
"Montenegro","0.36"
"Jordan","1.031"
"Syrian Arab Republic","1.065"
"Dominican Republic","0.43"
"Ireland","0.915"
"Cambodia","0.405"
"Macedonia","0.675"
"Singapore","2.807"
"Papua New Guinea","0.075"
"Sri Lanka","0.9"
"Laos","1.8780000000000001"
"Uzbekistan","3"
"Portugal","1.296"
"Finland","1.76"
"Colombia","1.246"
"Albania","0.6"
"Ukraine","6"
"Saudi Arabia","6.7940000000000005"
"Cuba","0.5"
"Latvia","0.894"
"North Korea","1.6"
"Kyrgyzstan","1.2"
"Algeria","1.2"
"France","5.46"
"Cape Verde","0.06623000000000001"
"Slovakia","0.88"
"Israel","2.59"
"Djibouti","0.107332"
"Senegal","0.327"
"Malaysia","4.18"
"Kenya","0.31"
"Ghana","1.038"
"Zambia","0.99"
"Iceland","0.6900000000000001"
"Madagascar","0.12"
"Kuwait","5.805"
"Sierra Leone","0.053"
"Liberia","0.06"
"Bosnia and Herzegovina","0.73"
"Philippines","1.2710000000000001"
"Benin","0.0405"
"Guinea","0.24"
"Cyprus","0.868"
"Turkey","2.795"
"Nigeria","1.074"
"Rwanda","0.0438"
"Zimbabwe","0.92"
"Tajikistan","3.015"
"China","22.5"
"Saint Lucia","0.003"
"Belarus","2.46"
"Armenia","1.11"
"Qatar","2.73"
"Netherlands","2.465"
"Lesotho","0.07200000000000001"
"Paraguay","7"
"Gabon","0.16"
"Australia","2.64"
"Serbia","1.73"
"Mauritius","0.15"
"Angola","0.52"
"Libya","1.44"
"Bahrain","2.204"
"Spain","2.0169"
"Congo","0.3"
"United Arab Emirates","4.889"
"Georgia","1.3"
"Malawi","0.128"
"Belgium","2.91"
"Burundi","0.02"
"Taiwan","5.5"
"Democratic Republic of the Congo","1.7750000000000001"
"Bhutan","1.02"
"Thailand","4.384"
"Togo","0.101214"
"Burkina Faso","0.064"
"El Salvador","0.324"
"Italy","3.446"
"Antarctica","0.0066"
"Uruguay","0.9450000000000001"
"Oman","1.0210000000000001"
"Fiji","0.16"
"United Kingdom","2.18"
"Germany","3.43"
"Eritrea","0.10009000000000001"
"Canada","5.6160000000000005"
"South Korea","5.9"
"Namibia","0.24"
"Argentina","1.9822000000000002"
"Slovenia","1.099"
"Azerbaijan","2.4"
"Greece","1.595"
"Egypt","2.754"
"Afghanistan","0.1"
"India","4.76"
"Iran","2.8000000000000003"
"Chile","1.0017"
"Gambia","0.0414"
"Estonia","1.369"
"Vietnam","2.4"
"Suriname","0.005"
"South Africa","4.116"
"Peru","0.9522999999999999"
"Kazakhstan","4"
"Central African Republic","0.0193"
"Kosovo","0.8"
"Japan","8.212"
"Denmark","0.8150000000000001"
"Jamaica","0.34750000000000003"
"Trinidad and Tobago","0.852"
"Mongolia","0.5700000000000001"
"United States of America","6.809"
"Iraq","2.1"
"Mauritania","0.12"
"Mozambique","2.075"
"Switzerland","1.285"
"New Zealand","0.8"
"Ecuador","1.5"
"Hungary","1.8868"
"Russia","8.865"
"Norway","1.444"
"Honduras","0.371"
"Botswana","0.732"
"Pakistan","3.478"
"Romania","1.6500000000000001"
"Brazil","8.535"
"Austria","1.272"
"Guatemala","0.3"
"Guinea-Bissau","0.018237"
"Bolivia","0.35000000000000003"
"Ethiopia","1.87"
"Cote DIvoire","0.294"
"Niger","0.054"
"Panama","0.3"
"Yemen","0.4"
"Western Sahara","0.0234"
"Lithuania","1.8"
"Bulgaria","2"
"Turkmenistan","1.685"
"Croatia","0.522"
"Tunisia","0.7000000000000001"
"Sudan","1.25"
"Mali","0.2"
"Swaziland","0.020800000000000003"
"Morocco","2.02"
"Moldova","2.52"
"Myanmar","0.79"
"Nicaragua","0.082"
"Mexico","2.7784"
"Nepal","0.14400000000000002"
"Guyana","0.0363"
"Tanzania","0.20750000000000002"
"Palestine","0.0076"
"Poland","5.472"
"Lebanon","0.6427999999999999"
"French Guiana","0.11359999999999999"
"Costa Rica","0.23445"
"Equatorial Guinea","0.12"
