"fuel","total_output_2013_gwh","total_output_2014_gwh","total_output_2015_gwh","total_output_2016_gwh","total_output_2017_gwh","avg_output_13_17_gwh","count_as_fuel_1","power_to_plant_ratio_gwh"
"Coal","1232001.945251666","1980954.0351282912","2471540.6605533017","2389268.3387363288","9287407.274889022","3472234.45",2330,1490
"Cogeneration","3593.9163129999997","3171.735431999999","3187.000714","3308.1300940000006","2781.0589800000002","3208.37",41,78
"Wind","230487.91174777813","250605.86408999976","282227.13874111127","341348.80255555577","673223.2236877879","355578.59",5344,67
"Solar","267615.7614877787","280562.9754077779","294240.37732444494","308287.88065555575","345173.3515933334","299176.07",10665,28
"Storage","2660.057995","1656.477961","108.833","109.624","33.81","913.76",135,7
"Biomass","22209.34830344445","21903.511214888884","30720.577368000017","33275.297566999994","29213.331492333342","27464.41",1430,19
"Hydro","3307327.9717011075","3391211.724953318","3311925.049792776","3375166.1113888994","3456634.517545016","3368453.08",7156,471
"Other","1337.94405","1111.78814","2763.28357","2729.496131","8249.208476","3238.34",43,75
"Gas","1127710.423448111","1214260.333999266","1498940.340762851","1489472.6937066666","5222062.1210654685","2110489.18",3998,528
"Waste","37219.27140244444","39750.91664155553","47505.66040344444","42109.209170888906","53558.671568333324","44028.75",1068,41
"Geothermal","15179.825079999999","15578.909000000005","16576.004999999997","16927.958000000006","55089.07900000002","23870.36",189,126
"Petcoke","9440.433457000001","8298.017789","7614.145988000001","7927.401354","6435.443707","7943.09",12,662
"Oil","23638.6481885552","26310.67465786668","40932.3730580282","39645.75908966695","505282.1855125728","127161.93",2320,55
"Nuclear","773350.019378","810371.57213","1433099.03206","1476810.12199","2840816.979959999","1466889.55",195,7523
